id,form,headword
391,facadar,adcí
391,aices,adcí
391,atcítis,adcí
391,tchondarcatar,adcí
391,bhfaiceadh,adcí
391,adidracacha,adcí
391,acciged,adcí
391,feicenn,adcí
391,faccéga,adcí
391,acce,adcí
391,choncamar,adcí
391,faccabair,adcí
391,acaghois,adcí
391,aicessa,adcí
391,domchich,adcí
391,aicfed,adcí
391,adciat,adcí
391,atcichead,adcí
391,adchess,adcí
391,diconnairc,adcí
391,dochífide,adcí
391,aiciged,adcí
391,ffaicfit,adcí
391,aciam,adcí
391,atchíthi,adcí
391,dochoncatar,adcí
391,airchiu,adcí
391,atch,adcí
391,dochífeadh,adcí
391,dochonnarc,adcí
391,madhcethea,adcí
391,atchiamait,adcí
391,aicfe,adcí
391,atchichesta,adcí
391,acend,adcí
391,atchondarc,adcí
391,doconncais,adcí
391,atchífeadh,adcí
391,aicci,adcí
391,aiccesdar,adcí
391,aiccichet,adcí
391,atchim,adcí
391,asidciam,adcí
391,aiccet,adcí
391,airciu,adcí
391,dochíd,adcí
391,atcethar,adcí
391,acae,adcí
391,atchonnarcaisthi,adcí
391,atconnarcsu,adcí
391,bhfaicim,adcí
391,accastar,adcí
391,atcitis,adcí
391,accad,adcí
391,atconnac,adcí
391,atchessa,adcí
391,accfither,adcí
391,atcichfe,adcí
391,atcheur,adcí
391,facae,adcí
391,aiccther,adcí
391,adciam,adcí
391,cunncus,adcí
391,accam,adcí
391,faiceam,adcí
391,asitchid,adcí
391,faicfide,adcí
391,atciamaid,adcí
391,accas,adcí
391,aicter,adcí
391,aci,adcí
391,facca,adcí
391,facadais,adcí
391,atatchigestar,adcí
391,dochíthí,adcí
391,atconncabar,adcí
391,faicfitis,adcí
391,faicit,adcí
391,adchither,adcí
391,adconnacuis,adcí
391,adroarcar,adcí
391,adceter,adcí
391,condcas,adcí
392,aclais,adclaid
392,conclaidhsid,adclaid
392,aclaid,adclaid
392,acláiset,adclaid
392,acclaidset,adclaid
392,arclaid,adclaid
392,aurclaidid,adclaid
392,arcechlath,adclaid
392,acclaide,adclaid
392,adclaid,adclaid
392,adcladat,adclaid
392,adclais,adclaid
392,aclaidead,adclaid
392,accail,adclaid
392,accladat,adclaid
392,adcichlus,adclaid
394,adcobraim,adcobra
394,accobraid,adcobra
394,accobar,adcobra
399,athchomarc,adcomairc
399,athchomarcaid,adcomairc
399,atomathcomairc,adcomairc
400,accomalta,adcomla
400,atcomla,adcomla
400,adcomaill,adcomla
400,acomlatar,adcomla
400,adcomaltar,adcomla
